,lsstg,lssti,lsstr,lsstu,lssty,lsstz
0,-13.023335623302135,-12.486128206343235,-13.016672259948887,-12.81274957791993,-12.39466927908058,-11.242736443233838
1,-14.746388649630886,-14.228043018444296,-14.77361240972038,-14.188356075922368,-14.21689957957035,-14.306440270159298
2,-15.206780684279659,-15.310035163993032,-15.39218605038213,-14.552066720118953,-14.713726455444757,-14.813968973553276
3,-15.424186439729253,-15.510385329259384,-15.541561885591886,-14.394400807270372,-14.855814151305438,-15.369058244750178
4,-15.273617820571774,-15.327751983215595,-15.537908613033748,-14.237067202801743,-15.062377889737128,-15.337781820123615
5,-15.25518277842589,-15.593273459207227,-15.666990088969907,-14.08814694705242,-15.49537183468747,-15.641392400867593
6,-15.431344616382983,-15.840546083052784,-15.640426091858128,-14.158691390081444,-15.940910928892492,-15.875993131702353
7,-15.404382473465542,-15.995997674228033,-15.839370019261505,-14.194411514007648,-16.039107304502792,-16.08805232318401
8,-15.201263376583453,-15.989451385989486,-15.729552955536107,-13.972182348959448,-16.18168245944546,-16.114974961158858
9,-15.05708887377794,-15.981563249127502,-15.633820860968973,-13.769406017278063,-16.24539170662877,-16.237634357407472
10,-14.819764830337597,-15.840281787426347,-15.457630580626686,-13.5906012556919,-16.239122780639455,-16.150255407339202
11,-14.540675125632474,-15.68389173961928,-15.232643490475384,-13.343426951521998,-16.191142276735977,-16.038761510332037
12,-14.238861390119,-15.527686822507064,-15.034147806360483,-13.050417670417904,-16.054800826066387,-15.89422482726571
13,-14.087347455772324,-15.409763669105363,-14.890647167016693,-12.906731865915637,-15.941048392135734,-15.801389320072554
14,-13.909205904062244,-15.2679620285748,-14.682632079882541,-12.741074164512813,-15.86974528087447,-15.695148441426683
15,-13.683975995074075,-15.124280879441201,-14.562420881096061,-12.571727548007058,-15.762713802838535,-15.552966222496405
16,-13.486744966326668,-14.998417587423301,-14.377723687867617,-12.373162522344149,-15.63888385905208,-15.433358151616869
17,-13.364884169625439,-14.819643171202323,-14.245158740524106,-12.339954819322417,-15.527873352315979,-15.29272073115726
18,-13.24506562455584,-14.66744039214348,-14.102483864954273,-12.131446666205058,-15.454057841408328,-15.208461935227707
19,-13.046033733933552,-14.635649571890301,-13.996426117819203,-11.913446251004029,-15.34265053917743,-15.094566509384666
20,-12.995784739389293,-14.495515299513928,-13.835131052104941,-11.749987667932611,-15.223163266942283,-15.04271507401901
21,-12.693197958981742,-14.35878969303177,-13.67045963737592,-11.53931285361249,-15.176319178941034,-14.905446807032416
22,-12.675613956861223,-14.274101394877373,-13.54625608528146,-11.427638674859272,-15.005398222431301,-14.800930909052681
23,-12.441833622234945,-14.16607071395398,-13.504131421937808,-11.138644007709004,-14.93741302826969,-14.71175884504213
24,-12.402842802259183,-14.072642589080463,-13.404838145807958,-11.00981905235015,-14.818920539359246,-14.63558705860182
25,-12.226673940165536,-13.953581515189894,-13.269778396512663,-10.976981113591783,-14.746835668426296,-14.477303637005868
26,-12.063625777842681,-13.87765433381418,-13.091789732067207,-10.819425892634234,-14.642533654318628,-14.418872633969881
27,-11.83946394415206,-13.734616842539777,-12.948303936066356,-10.278936469956331,-14.572451309074841,-14.302557151656877
28,-11.693856069142193,-13.636044946520672,-12.99661387835478,-10.160553209173038,-14.474999760050215,-14.177908114970796
29,-11.587123393555265,-13.557460937959567,-12.765339206438714,-10.037140924087527,-14.414086487171913,-14.078950508450323
